Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
marker_rr,-5.55111512312578E-17,0.0657584488911423,-0.0102499999999999,0,0,0,0.0350523985722444,4.42121651078569E-06,-5.475273910611E-20,-9.03428622892884E-20,3.67633196288506E-05,3.29726097123104E-21,3.57142588184519E-05,0,0,0,0,0,0,package://sw4/meshes/marker_rr.STL,1,0.184313725490196,0.207843137254902,1,0,0,0,0,0,0,package://sw4/meshes/marker_rr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/marker-1,Origin_marker_fl_joint,Axis_marker_rr_joint,marker_rr_joint,fixed,-0.0102499999999998,0,0,1.5707963267949,1.55207700478784,-1.5707963267949,wheel_rr,0,0,0,,,,,,,,,,,,
cover_rr,-9.94446145006767E-05,-1.24187237701134E-05,-0.00141090609422095,0,0,0,0.0355492073745058,3.76248166455624E-05,3.36004195884911E-08,-5.61507233125263E-09,3.88759680999377E-05,-7.02195906241697E-10,7.64579543953779E-05,0,0,0,0,0,0,package://sw4/meshes/cover_rr.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://sw4/meshes/cover_rr.STL,,PART ASS'Y-1-1/감속기 부착 ASS'Y-1/맨겉뚜껑_v3-1-1,Origin_cover_fl_joint,Axis_cover_rr_joint,cover_rr_joint,fixed,-0.0028762806962761,0.0479137455158353,0.00774999999999976,3.14159265358979,0,-3.08163422030932,inner_wheel_rr,0,0,0,,,,,,,,,,,,
inner_gear_fl,5.68499051833982E-07,7.63716316804983E-05,-0.0149805703213809,0,0,0,0.0110327332596441,4.80829060566523E-06,-3.01977896124854E-11,1.64764447787993E-10,4.80952617762222E-06,-3.00538459560626E-08,7.04246785452801E-07,0,0,0,0,0,0,package://sw4/meshes/inner_gear_fl.STL,0,1,0,1,0,0,0,0,0,0,package://sw4/meshes/inner_gear_fl.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/작은 스퍼기어1-5차측-1,Origin_inner_gear_rr_joint,,inner_gear_fl_joint,continuous,-0.244,-0.32225,0.014126,1.5708,0.059958,0,car_frame,0,0,1,,,,,,,,,,,,
inner_wheel_fl,-0.00261832313479413,0.0436166291145294,-0.0104233484656811,0,0,0,0.257556919292698,0.000352310782843601,-1.12191004252322E-06,-2.12088293725005E-07,0.000370932469728746,3.53301558696707E-06,0.000683104052806642,0,0,0,0,0,0,package://sw4/meshes/inner_wheel_fl.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw4/meshes/inner_wheel_fl.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/INEER WHE-2EL-5,Origin_inner_gear_rr_joint,,inner_wheel_fl_joint,continuous,-0.244,-0.32225,0.014126,1.5708,0.059958,0,car_frame,0,0,1,,,,,,,,,,,,
wheel_fl,-0.00156273970588588,-0.000131316876807508,2.79373952388751E-07,0,0,0,0.165142633558274,0.000907319831290128,9.21658701271734E-09,-1.96276242383239E-11,0.000464100110679714,-3.35033565802894E-09,0.000462525250528812,0,0,0,0,0,0,package://sw4/meshes/wheel_fl.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://sw4/meshes/wheel_fl.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/바깥 스퍼 기어(감속기)-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-2/tire160_돌출_홈깊게-1,Origin_inner_wheel_rr_joint,,wheel_fl_joint,continuous,-0.0028763,0.047914,-0.00725,0.059958,1.5708,0,inner_wheel_fl,-1,0,0,,,,,,,,,,,,
marker_fl,-1.11022302462516E-16,0.0657584488911423,-0.01025,0,0,0,0.0350523985722444,4.42121651078552E-06,-2.7813120916483E-20,2.32348435859302E-20,3.67633196288506E-05,-1.85408747480345E-21,3.57142588184517E-05,0,0,0,0,0,0,package://sw4/meshes/marker_fl.STL,1,0.184313725490196,0.207843137254902,1,0,0,0,0,0,0,package://sw4/meshes/marker_fl.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/marker-1,Origin_marker_rr_joint,Axis_marker_fl_joint,marker_fl_joint,fixed,-0.0102499999999998,0,0,-1.5707963267949,-1.55207700478784,1.5707963267949,wheel_fl,0,0,0,,,,,,,,,,,,
cover_fl,-9.94446145006489E-05,-1.24187237701204E-05,-0.00141090609422095,0,0,0,0.0355492073745058,3.76248166455624E-05,3.3600419588488E-08,-5.61507233117656E-09,3.88759680999378E-05,-7.02195906237178E-10,7.64579543953779E-05,0,0,0,0,0,0,package://sw4/meshes/cover_fl.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://sw4/meshes/cover_fl.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-2/맨겉뚜껑_v3-1-1,Origin_cover_rr_joint,Axis_cover_fl_joint,cover_fl_joint,fixed,-0.00287628069627605,0.0479137455158353,0.00774999999999976,3.14159265358979,0,-3.08163422030932,inner_wheel_fl,0,0,0,,,,,,,,,,,,
inner_gear_fr,5.68499051833982E-07,7.63716316805607E-05,-0.0149805703213809,0,0,0,0.011032733259644,4.80829060566523E-06,-3.01977896106325E-11,1.64764447786779E-10,4.80952617762221E-06,-3.00538459560703E-08,7.04246785452794E-07,0,0,0,0,0,0,package://sw4/meshes/inner_gear_fr.STL,0,1,0,1,0,0,0,0,0,0,package://sw4/meshes/inner_gear_fr.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-1/작은 스퍼기어1-5차측-1,Origin_inner_gear_rl_joint,,inner_gear_fr_joint,continuous,-0.244,0.32225,0.014126,1.5708,0.059958,-3.1416,car_frame,0,0,-1,,,,,,,,,,,,
inner_wheel_fr,-0.00261832313479415,0.0436166291145294,-0.0104233484656811,0,0,0,0.257556919292697,0.000352310782843601,-1.12191004252324E-06,-2.12088293724879E-07,0.000370932469728745,3.53301558696703E-06,0.000683104052806642,0,0,0,0,0,0,package://sw4/meshes/inner_wheel_fr.STL,0.894117647058823,0.894117647058823,0.894117647058823,1,0,0,0,0,0,0,package://sw4/meshes/inner_wheel_fr.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-1/INEER WHE-2EL-5,Origin_inner_gear_rl_joint,,inner_wheel_fr_joint,continuous,-0.244,0.32225,0.014126,1.5708,0.059958,-3.1416,car_frame,0,0,-1,,,,,,,,,,,,
wheel_fr,-0.00156273970588583,0.000131316876807272,-2.79373952499773E-07,0,0,0,0.165142633558276,0.000907319831290136,-9.21658701288718E-09,1.96276244222484E-11,0.000464100110679716,-3.35033565658832E-09,0.000462525250528818,0,0,0,0,0,0,package://sw4/meshes/wheel_fr.STL,0.796078431372549,0.623529411764706,1,1,0,0,0,0,0,0,package://sw4/meshes/wheel_fr.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-1/바깥 스퍼 기어(감속기)-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/outer cage_Ball Typ_홈깊게-1;PART ASS'Y-2-1/감속기 부착 ASS'Y-1/tire160_돌출_홈깊게-1,Origin_inner_wheel_rl_joint,,wheel_fr_joint,continuous,-0.0028763,0.047914,-0.00725,3.0816,1.5708,0,inner_wheel_fr,1,0,0,,,,,,,,,,,,
marker_fr,-8.32667268468867E-17,0.0657584488911424,-0.0102499999999999,0,0,0,0.0350523985722445,4.42121651078541E-06,-2.30022384738746E-20,3.51237687998265E-20,3.67633196288506E-05,-2.88717789940908E-22,3.57142588184516E-05,0,0,0,0,0,0,package://sw4/meshes/marker_fr.STL,1,0.184313725490196,0.207843137254902,1,0,0,0,0,0,0,package://sw4/meshes/marker_fr.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-1/marker-1,Origin_marker_rl_joint,Axis_marker_fr_joint,marker_fr_joint,fixed,-0.0102499999999998,0,0,1.5707963267949,1.55207700478783,-1.5707963267949,wheel_fr,0,0,0,,,,,,,,,,,,
cover_fr,-9.94446145006211E-05,-1.24187237701204E-05,-0.00141090609422095,0,0,0,0.0355492073745058,3.76248166455624E-05,3.36004195884859E-08,-5.61507233125255E-09,3.88759680999378E-05,-7.02195906242058E-10,7.64579543953779E-05,0,0,0,0,0,0,package://sw4/meshes/cover_fr.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://sw4/meshes/cover_fr.STL,,PART ASS'Y-2-1/감속기 부착 ASS'Y-1/맨겉뚜껑_v3-1-1,Origin_cover_rl_joint,Axis_cover_fr_joint,cover_fr_joint,fixed,-0.00287628069627605,0.0479137455158353,0.00774999999999976,3.14159265358979,0,-3.08163422030932,inner_wheel_fr,0,0,0,,,,,,,,,,,,
